Ref,Val,Package,PosX,PosY,Rot,Side
"J1","SWD","PinSocket_1x05_P2.54mm_Vertical",75.350000,-94.530000,-90.000000,top
"J2","JLCJLCJLCJLCJLCJLC","JST_EH_S4B-EH_1x04_P2.50mm_Horizontal",113.630000,-59.172500,0.000000,top
